ordinal_position,column_name,bucket,profile_status,non_empty_rows,non_empty_pct,distinct_non_empty_values,sample_values,matched_lookup_or_vocab,note
1,cityblock,actual_data,literal,135894,100.00,5738,1184.04 | 2571 | 4699.05 | 3542 | 3226,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
2,parcel,actual_data,literal,135894,100.00,1178,1 | 10 | 100 | 101 | 102,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
3,ownercode,coded_data,coded,135894,100.00,7,0 | 1 | 3 | 4 | 5,staging.prclcode_cdownercode,Coded field; related lookup or vocabulary: staging.prclcode_cdownercode.
4,asrparcelid,actual_data,literal,135894,100.00,135894,00019005000 | 00019005999 | 00019010000 | 00019020000 | 00019032000,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
5,colparcelid,actual_data,literal,135894,100.00,135894,00010000050 | 00010000058 | 00010000100 | 00010000200 | 00010000320,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
6,colcityblock,actual_data,literal,135894,100.00,6751,112600 | 174500 | 325200 | 524700 | 552500,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
7,colparcel,actual_data,literal,135894,100.00,2164,0 | 1 | 10 | 100 | 1000,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
8,parcelid,actual_data,literal,135894,100.00,135894,00010000050 | 00010000058 | 00010000100 | 00010000200 | 00010000320,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
9,primaddrrecnum,actual_data,literal,135894,100.00,31,1 | 10 | 11 | 12 | 13,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
10,addrtype,coded_data,coded,135894,100.00,5,1 | 2 | 3 | A | X,staging.prclcode_cdaddrtype,Coded field; related lookup or vocabulary: staging.prclcode_cdaddrtype.
11,lowaddrnum,actual_data,literal,135894,100.00,7563,2571 | 247 | 3542 | 3226 | 2275,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
12,lowaddrsuf,actual_data,literal,1527,1.12,14,#A | A | B | C | D,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
13,highaddrnum,actual_data,literal,135894,100.00,7649,2571 | 247 | 3542 | 3226 | 2275,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
14,highaddrsuf,actual_data,literal,1523,1.12,14,#A | A | B | C | D,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
15,nlc,coded_data,coded,135894,100.00,1447,0 | 1 | 10 | 100 | 1000,staging.corcode_cdnlctype,Coded field; related lookup or vocabulary: staging.corcode_cdnlctype.
16,parity,coded_data,coded_no_lookup,135894,100.00,2,E | O,,Coded field; no matching lookup table or published vocabulary has been linked yet.
17,stpredir,coded_data,coded,13396,9.86,5,E | N | S | W | WW,city vocabulary 65 (Street Prefix Direction),Coded field; related lookup or vocabulary: city vocabulary 65 (Street Prefix Direction).
18,stname,actual_data,literal,135886,99.99,1225,10TH | 11TH | 12TH | 13TH | 14TH,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
19,sttype,coded_data,coded,134257,98.80,15,AV | BLVD | CT | DR | LA,city vocabulary 66 (Street Type),Coded field; related lookup or vocabulary: city vocabulary 66 (Street Type).
20,stsufdir,coded_data,coded,13,0.01,2,SE | W,city distribution 195 field definition only,Coded field; related lookup or vocabulary: city distribution 195 field definition only.
21,stdunitnum,actual_data,literal,7741,5.70,1768,1 | 10 | 100 | 1000 | 1001,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
22,ownername,actual_data,literal,135886,99.99,94595,"BIG CREEK MANAGEMENT LLC | JOHNSON, ODELL & CLAUDINE | HINTON, MONICA | HUGHES, BRIAN | GOOCH, JOSEPH",,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
23,ownername2,actual_data,literal,14367,10.57,9171,C/O DDI-MEDIA | C/O MACK RILEY | C/O POLYONE CORP ATTN: TAX DEPT | C/O WATSON RENTAL LLC | C/O ZACHARY HURLEY TRS,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
24,owneraddr,actual_data,literal,134203,98.76,90662,15637 SUPERIOR ST | 909 ANN AVE | 3974 WYOMING ST | 2643 ST VINCENT ST | P O BOX 5818,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
25,ownercity,actual_data,literal,134188,98.74,2173,5T LOUIS | ABERDEEN | ABILENE | ABSECON | ACWORTH,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
26,ownerstate,actual_data,literal,132700,97.65,85,AE | AK | AL | AP | AR,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
27,ownercountry,actual_data,literal,60168,44.28,36,63129 | AUSTRALIA | BERMUDA | BRAZIL | CA,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
28,ownerzip,actual_data,literal,134183,98.74,3756,0 | 00000 | 00610 | 00831 | 00919,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
29,ownerrank,coded_data,coded_no_lookup,135894,100.00,4,0 | 2 | 3 | 8,,Coded field; no matching lookup table or published vocabulary has been linked yet.
30,legaldesc1,actual_data,literal,135143,99.45,47370,C. B. 3183 WATER ST | C. B. 2761 VIRGINIA AVE | C. B. 4406 D DRYDEN | C. B.3846 PAGE | C B 923 MARKET ST,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
31,legaldesc2,actual_data,literal,135188,99.48,57216,150 FT / 137.5 FT X 200.63 FT | 31 FT 9 IN X 124 FT | 32 FT 2 1/2 IN X 132 FT 6 IN | 40 FT X 160 FT | 35 FT / 38.17 X 120 FT,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
32,legaldesc3,actual_data,literal,134699,99.12,36490,UNIT 37 BLDG 6 | UNIT #5950 | LOT 36 & N PT VAC RD | BELLE EST ADDN | GEO BAILEY 1ST ADDN,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
